Trs_Id,Agency_Type_Desc,Organization_Type_Desc,Fy_Month_Num,Fy_Day_Num,Fy_Year_Num,Company_Nm,Street1_Nm,Street2_Nm,City_Nm,State_Desc,Zip_Cd,Zip_4_Cd,Url_Cd,Ftavc_Cd,Logo_Cd,Service_Area,Service_Area_Population,Waiver_9_Req_Fl,Veh_Operated_Comment,Other_Url_Cd,Po_Box,Other_Cap_Use_Comment_Desc,Other_Option_B_Comment_Desc,Voluntary_Reporter_Fl,Operate_FGW_MBDO_Fl,Operate_FGW_MBPT_Fl,DUNS Number
4110,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,9,30,2010,Charleston Area Regional Transportation Authority                                                   ,36 John Street                                                                                      ,                                                                                                    ,Charleston                         ,SC                  ,29403,    ,www.ridecarta.com                                                                                   ,1115,CARTA                    ,73,"505,879",N,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,N,053637067
4111,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,9,30,2010,Morgan County Area Transportation System                                                            ,                                                                                                    ,                                                                                                    ,Decatur                            ,AL                  ,35602,0668,www.co.morgan.al.us                                                                                 ,1000,MCATS                    ,574,"111,064",N,                                                                                                                                                                                                        ,                                                                                                    ,668       ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,N,098846793
4112,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2010,City of San Juan                                                                                    ,Area of Operations and Engineering                                                                  ,                                                                                                    ,San Juan                           ,PR                  ,00902,4100,www.SanJuanCapital.com                                                                              ,1886,MSJ                      ,47,"437,745",Y,                                                                                                                                                                                                        ,                                                                                                    ,9024100   ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,090362773
4113,11. Private provider reporting on behalf of a public entity                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2010,"Council on Aging of Martin County, Inc.                                                             ",1071 East 10th Street                                                                               ,                                                                                                    ,Stuart                             ,FL                  ,34996,    ,www.COAMC.org                                                                                       ,6060,COAMC \ CC - MCBOCC      ,555,"137,956",N,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,175386135
4114,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2010,Municipality of Aguada                                                                              ,517 Colon Street                                                                                    ,                                                                                                    ,Aguada                             ,PR                  ,00602,0517,www.aguadapuertorico.com                                                                            ,5585,Municipio de Aguada      ,10,"42,000",Y,                                                                                                                                                                                                        ,                                                                                                    ,517       ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,091029264
4115,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2010,Municipality of Caguas Mobility Office                                                              ,                                                                                                    ,Caguas PR                                                                                           ,Caguas                             ,PR                  ,00726,0907,www.caguas.gov.pr                                                                                   ,2417,                         ,2,"50,000",Y,                                                                                                                                                                                                        ,                                                                                                    ,907       ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,090545278
4117,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2010,Municipality of Vega Baja                                                                           ,#10 Blanco Sosa Street                                                                              ,                                                                                                    ,Vega Baja                          ,PR                  ,00694,4555,www.vegabaja.pr.gov                                                                                 ,5414,DDEC                     ,47,"61,929",Y,                                                                                                                                                                                                        ,                                                                                                    ,4555      ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,091003061
4120,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,9,30,2010,"City of Ocala, Florida                                                                              ", 121 Southeast Watula Avenue                                                                        ,P.O. Box 1270                                                                                       ,Ocala                              ,FL                  ,34471,    ,www.suntran.org                                                                                     ,1034,SunTran                  ,58,"103,599",Y,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,N,055947428
4121,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2010,Municipality of Hormigueros                                                                         ,PO Box 97                                                                                           ,"Hormigueros, P.R. 00660-0097                                                                        ",Hormigueros                        ,PR                  ,00660,0097,www.hormiguerospr.net/                                                                              ,1912,                         ,29,"16,400",Y,                                                                                                                                                                                                        ,                                                                                                    ,97        ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,803864552
4122,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2010,Municipality of Cayey                                                                               ,1Jose de Diego Avenue                                                                               ,                                                                                                    ,Cayey                              ,PR                  ,00737,1330,www.gobierno.pr/Cayey/Inicio/                                                                       ,5584,Cayey                    ,40,"47,370",Y,                                                                                                                                                                                                        ,                                                                                                    ,371330    ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,112510347
4123,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2010,Federal Programs Municipality of Gurabo                                                             ,                                                                                                    ,                                                                                                    ,Gurabo                             ,PR                  ,00778,3020,www.gurabopr.com                                                                                    ,1904,                         ,30,"37,247",Y,                                                                                                                                                                                                        ,                                                                                                    ,3020      ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,192861602
4124,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2010,Municipality of Cidra                                                                               ,                                                                                                    ,                                                                                                    ,Cidra                              ,PR                  ,00739,0729,www.cidrapr.com                                                                                     ,5654,MACPR                    ,37,"2,385",Y,                                                                                                                                                                                                        ,                                                                                                    ,729       ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,138842120
4125,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2010,Autonomous Municipality of Carolina                                                                 ,                                                                                                    ,                                                                                                    ,Carolina                           ,PR                  ,00986,0008,www.gmacpr.com                                                                                      ,2038,GMAC                     ,4,"186,076",N,                                                                                                                                                                                                        ,                                                                                                    ,8         ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,118161504
4126,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2010,Municipality of Humacao                                                                             ,Centro de Gobierno Municipal                                                                        ,Calle Ulises Mart?nez Final                                                                         ,Humacao                            ,PR                  ,00792,0178,None                                                                                                ,5567,SITRAH                   ,10,"25,000",Y,                                                                                                                                                                                                        ,                                                                                                    ,178       ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,139432087
4127,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,9,30,2010,Polk County Transit Services Division - Polk County Board of County Commissioners                   ,1290 Golfview Avenue                                                                                ,Drawer HS09                                                                                         ,Bartow                             ,FL                  ,33831,9005,www.Polk-County.net                                                                                 ,5777,PCTS                     ,48,"153,924",N,                                                                                                                                                                                                        ,                                                                                                    ,9005      ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,078315959
4128,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,9,30,2010,Okaloosa County Board of County Commissioners                                                       ,600 Transit Way                                                                                     ,                                                                                                    ,Fort Walton Beach                  ,FL                  ,32547,    ,www.co.okaloosa.fl.us                                                                               ,5435,                         ,200,"170,498",N,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,N,613277649
4129,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,9,30,2010,Charlotte County Transit Division                                                                   ,25490 Airport Road                                                                                  ,                                                                                                    ,Punta Gorda                        ,FL                  ,33950,    ,www.charlottefl.com                                                                                 ,5610,                         ,225,"163,245",N,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,N,040223463
4130,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2010,Macon-Bibb County Transit Authority                                                                 ,200 Cherry Street                                                                                   ,                                                                                                    ,Macon                              ,GA                  ,31201,    ,www.mta-mac.com                                                                                     ,    ,MTA                      ,70,"155,255",N,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,154057616
4131,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2010,Davidson County Transportation                                                                      ,925 North Main Street                                                                               ,                                                                                                    ,Lexington                          ,NC                  ,27293,1067,www.co.davidson.nc.us                                                                               ,N/A ,DCTS                     ,500,"140,000",Y,                                                                                                                                                                                                        ,                                                                                                    ,1067      ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,N,077839744
